游戏名,国家,排名,时间
鸣潮,cn,101,2026-03-17 02:34:28.729862
原神,cn,47,2026-03-17 02:34:28.729862
绝区零,cn,101,2026-03-17 02:34:28.729862
崩坏：星穹铁道,cn,87,2026-03-17 02:34:28.729862
明日方舟,cn,101,2026-03-17 02:34:28.729862
明日方舟：终末地,cn,70,2026-03-17 02:34:28.729862
鸣潮,jp,36,2026-03-17 02:34:28.784482
原神,jp,54,2026-03-17 02:34:28.784482
绝区零,jp,101,2026-03-17 02:34:28.784482
崩坏：星穹铁道,jp,31,2026-03-17 02:34:28.784482
明日方舟,jp,101,2026-03-17 02:34:28.784482
明日方舟：终末地,jp,63,2026-03-17 02:34:28.784482
鸣潮,kr,98,2026-03-17 02:34:28.949018
原神,kr,101,2026-03-17 02:34:28.949018
绝区零,kr,101,2026-03-17 02:34:28.949018
崩坏：星穹铁道,kr,87,2026-03-17 02:34:28.949018
明日方舟,kr,101,2026-03-17 02:34:28.949018
明日方舟：终末地,kr,94,2026-03-17 02:34:28.949018
鸣潮,us,101,2026-03-17 02:34:29.100562
原神,us,101,2026-03-17 02:34:29.100562
绝区零,us,101,2026-03-17 02:34:29.100562
崩坏：星穹铁道,us,101,2026-03-17 02:34:29.100562
明日方舟,us,101,2026-03-17 02:34:29.100562
明日方舟：终末地,us,101,2026-03-17 02:34:29.100562
